Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Simple8B,1686437096,3389.52,msrc_split,7301.07,300 files,-1,0,8,10,f,11314112320,None,0,14.91
Memcpy,13681590080,5104.67,msrc_split,7557.62,300 files,-1,0,8,11,f,13681590080,None,0,100.0
SIMDBP128,2053900288,8217.99,msrc_split,16630.11,300 files,-1,0,8,11,f,13649368640,None,0,15.05
Simple8B,2041819472,3388.97,msrc_split,7591.66,300 files,-1,0,8,11,f,13688282880,None,0,14.92
Memcpy,16285559360,4900.4,msrc_split,6702.3,300 files,-1,0,8,12,f,16285559360,None,0,100.0
SIMDBP128,2445076672,8157.78,msrc_split,14792.68,300 files,-1,0,8,12,f,16255200640,None,0,15.04
Simple8B,2426051376,3440.82,msrc_split,7619.66,300 files,-1,0,8,12,f,16265684160,None,0,14.92
Memcpy,19092577280,4923.23,msrc_split,7680.74,300 files,-1,0,8,13,f,19092577280,None,0,100.0
SIMDBP128,2873324240,8019.99,msrc_split,15554.37,300 files,-1,0,8,13,f,19092892480,None,0,15.05
Simple8B,2845521544,3473.36,msrc_split,7558.72,300 files,-1,0,8,13,f,19080279040,None,0,14.91
Memcpy,22132977600,4985.92,msrc_split,6848.97,300 files,-1,0,8,14,f,22132977600,None,0,100.0
SIMDBP128,3331169808,7990.31,msrc_split,16667.2,300 files,-1,0,8,14,f,22144634880,None,0,15.04
Simple8B,3300433752,3171.39,msrc_split,7588.92,300 files,-1,0,8,14,f,22111791360,None,0,14.93
Memcpy,25402485760,4906.8,msrc_split,7576.21,300 files,-1,0,8,15,f,25402485760,None,0,100.0
SIMDBP128,3826146960,7940.68,msrc_split,14828.21,300 files,-1,0,8,15,f,25430065600,None,0,15.05
Simple8B,3789877504,3192.2,msrc_split,7353.51,300 files,-1,0,8,15,f,25380226880,None,0,14.93
Memcpy,28910242560,4204.4,msrc_split,7687.93,300 files,-1,0,8,16,f,28910242560,None,0,100.0
SIMDBP128,4350587248,7959.96,msrc_split,16283.9,300 files,-1,0,8,16,f,28913541120,None,0,15.05
Simple8B,4317983256,3164.06,msrc_split,7301.8,300 files,-1,0,8,16,f,28906231360,None,0,14.94
SprintzDelta -80,8208424,378.21,msrc_split,3082.25,300 files,-1,0,8,1,c,28693024,None,0,28.61
SprintzXff -80,8120544,252.49,msrc_split,2181.22,300 files,-1,0,8,1,c,27890368,None,0,29.12
SprintzDelta_Huf -80,6766428,297.52,msrc_split,812.58,300 files,-1,0,8,1,c,28569152,None,0,23.68
SprintzXff_Huf -80,7000066,204.16,msrc_split,732.29,300 files,-1,0,8,1,c,28873856,None,0,24.24
SprintzDelta -80,33083780,438.72,msrc_split,3180.89,300 files,-1,0,8,2,c,116763232,None,0,28.33
SprintzXff -80,32864228,224.81,msrc_split,3207.22,300 files,-1,0,8,2,c,113665216,None,0,28.91
SprintzDelta_Huf -80,26557036,430.64,msrc_split,1162.03,300 files,-1,0,8,2,c,111442208,None,0,23.83
SprintzXff_Huf -80,26880952,291.85,msrc_split,1054.03,300 files,-1,0,8,2,c,110688896,None,0,24.29
SprintzDelta -80,72803704,445.28,msrc_split,3340.67,300 files,-1,0,8,3,c,254841376,None,0,28.57
SprintzXff -80,73639688,261.6,msrc_split,2250.29,300 files,-1,0,8,3,c,254595840,None,0,28.92
SprintzDelta_Huf -80,59991440,302.11,msrc_split,1095.32,300 files,-1,0,8,3,c,250902944,None,0,23.91
SprintzXff_Huf -80,61243844,291.05,msrc_split,1059.04,300 files,-1,0,8,3,c,251534912,None,0,24.35
SprintzDelta -80,129029468,648.65,msrc_split,4820.2,300 files,-1,0,8,4,c,451638176,None,0,28.57
SprintzXff -80,131203940,373.71,msrc_split,3071.6,300 files,-1,0,8,4,c,453851904,None,0,28.91
SprintzDelta_Huf -80,107682870,431.77,msrc_split,1193.91,300 files,-1,0,8,4,c,451739680,None,0,23.84
SprintzXff_Huf -80,110326656,292.95,msrc_split,1063.72,300 files,-1,0,8,4,c,452623840,None,0,24.37
SprintzDelta -80,202177036,447.69,msrc_split,3065.0,300 files,-1,0,8,5,c,707549376,None,0,28.57
SprintzXff -80,204410020,261.54,msrc_split,2825.43,300 files,-1,0,8,5,c,706298720,None,0,28.94
SprintzDelta_Huf -80,168153750,432.41,msrc_split,1183.33,300 files,-1,0,8,5,c,707165600,None,0,23.78
SprintzXff_Huf -80,171053116,292.01,msrc_split,1047.98,300 files,-1,0,8,5,c,702288416,None,0,24.36
SprintzDelta -80,290636372,454.65,msrc_split,3374.92,300 files,-1,0,8,6,c,1018306144,None,0,28.54
SprintzXff -80,293269884,282.32,msrc_split,3300.84,300 files,-1,0,8,6,c,1014648256,None,0,28.9
SprintzDelta_Huf -80,240685251,436.16,msrc_split,1192.43,300 files,-1,0,8,6,c,1011302400,None,0,23.8
SprintzXff_Huf -80,246777733,292.11,msrc_split,1053.18,300 files,-1,0,8,6,c,1012089632,None,0,24.38
SprintzDelta -80,394804844,455.54,msrc_split,3718.76,300 files,-1,0,8,7,c,1383799488,None,0,28.53
SprintzXff -80,400033416,369.44,msrc_split,3215.98,300 files,-1,0,8,7,c,1382543040,None,0,28.93
SprintzDelta_Huf -80,328473454,426.3,msrc_split,1106.08,300 files,-1,0,8,7,c,1379652896,None,0,23.81
SprintzXff_Huf -80,336664218,265.2,msrc_split,946.45,300 files,-1,0,8,7,c,1378128640,None,0,24.43
SprintzDelta -80,515716192,449.82,msrc_split,3954.31,300 files,-1,0,8,8,c,1807131648,None,0,28.54
SprintzXff -80,520505072,366.28,msrc_split,3196.87,300 files,-1,0,8,8,c,1801373216,None,0,28.89
SprintzDelta_Huf -80,429408840,235.69,msrc_split,1034.21,300 files,-1,0,8,8,c,1801188800,None,0,23.84
SprintzXff_Huf -80,440182317,281.09,msrc_split,822.89,300 files,-1,0,8,8,c,1806167456,None,0,24.37
SprintzDelta -80,652274672,446.74,msrc_split,4036.38,300 files,-1,0,8,9,c,2284789472,None,0,28.55
SprintzXff -80,660060200,371.0,msrc_split,3277.43,300 files,-1,0,8,9,c,2283948416,None,0,28.9
SprintzDelta_Huf -80,543551339,432.52,msrc_split,1189.8,300 files,-1,0,8,9,c,2281234688,None,0,23.83
SprintzXff_Huf -80,556985923,287.67,msrc_split,1047.34,300 files,-1,0,8,9,c,2283935808,None,0,24.39
SprintzDelta -80,802801088,452.57,msrc_split,4256.86,300 files,-1,0,8,10,c,2813883360,None,0,28.53
SprintzXff -80,818054200,371.51,msrc_split,3269.71,300 files,-1,0,8,10,c,2828770496,None,0,28.92
SprintzDelta_Huf -80,670907042,432.41,msrc_split,1170.04,300 files,-1,0,8,10,c,2817125728,None,0,23.82
SprintzXff_Huf -80,689116500,289.88,msrc_split,1051.75,300 files,-1,0,8,10,c,2826439456,None,0,24.38
SprintzDelta -80,973475252,448.0,msrc_split,4455.81,300 files,-1,0,8,11,c,3412633344,None,0,28.53
SprintzXff -80,989396696,367.68,msrc_split,3179.03,300 files,-1,0,8,11,c,3422363648,None,0,28.91
SprintzDelta_Huf -80,812562744,436.69,msrc_split,1187.67,300 files,-1,0,8,11,c,3413645280,None,0,23.8
SprintzXff_Huf -80,831715604,291.18,msrc_split,1055.98,300 files,-1,0,8,11,c,3408026784,None,0,24.4
SprintzDelta -80,1159185240,468.12,msrc_split,4578.88,300 files,-1,0,8,12,c,4064147680,None,0,28.52
SprintzXff -80,1176328780,336.72,msrc_split,3055.26,300 files,-1,0,8,12,c,4066769888,None,0,28.93
SprintzDelta_Huf -80,968062809,424.55,msrc_split,1131.09,300 files,-1,0,8,12,c,4062532352,None,0,23.83
SprintzXff_Huf -80,988566178,288.14,msrc_split,1047.98,300 files,-1,0,8,12,c,4051324608,None,0,24.4
SprintzDelta -80,1361905984,637.49,msrc_split,4571.15,300 files,-1,0,8,13,c,4773632128,None,0,28.53
SprintzXff -80,1379353432,331.23,msrc_split,3219.91,300 files,-1,0,8,13,c,4770479264,None,0,28.91
SprintzDelta_Huf -80,1135743058,428.48,msrc_split,1192.14,300 files,-1,0,8,13,c,4765729728,None,0,23.83
SprintzXff_Huf -80,1160405899,288.29,msrc_split,1007.99,300 files,-1,0,8,13,c,4755661536,None,0,24.4
SprintzDelta -80,1579776800,604.86,msrc_split,4575.55,300 files,-1,0,8,14,c,5536633632,None,0,28.53
SprintzXff -80,1600121884,367.14,msrc_split,3255.5,300 files,-1,0,8,14,c,5528421408,None,0,28.94
SprintzDelta_Huf -80,1316176812,429.57,msrc_split,1104.29,300 files,-1,0,8,14,c,5522594304,None,0,23.83
SprintzXff_Huf -80,1346930249,281.93,msrc_split,1043.98,300 files,-1,0,8,14,c,5519702592,None,0,24.4
SprintzDelta -80,1814048456,635.43,msrc_split,4637.34,300 files,-1,0,8,15,c,6358060960,None,0,28.53
SprintzXff -80,1835930660,365.5,msrc_split,2909.99,300 files,-1,0,8,15,c,6345598752,None,0,28.93
SprintzDelta_Huf -80,1508701292,291.87,msrc_split,1173.59,300 files,-1,0,8,15,c,6329331424,None,0,23.84
SprintzXff_Huf -80,1548399348,280.55,msrc_split,1035.51,300 files,-1,0,8,15,c,6353322944,None,0,24.37
SprintzDelta -80,2062007568,645.15,msrc_split,4693.53,300 files,-1,0,8,16,c,7229005984,None,0,28.52
SprintzXff -80,2091830668,374.36,msrc_split,3237.94,300 files,-1,0,8,16,c,7227173792,None,0,28.94
SprintzDelta_Huf -80,1717296069,433.88,msrc_split,1164.02,300 files,-1,0,8,16,c,7207586784,None,0,23.83
SprintzXff_Huf -80,1759727120,259.83,msrc_split,993.33,300 files,-1,0,8,16,c,7221147072,None,0,24.37
Zstd -1,11505376,206.13,msrc_split,572.52,300 files,-1,0,8,1,f,28693024,None,0,40.1
Zstd -9,9550849,36.72,msrc_split,589.26,300 files,-1,0,8,1,f,27890368,None,0,34.24
Snappy,12858028,395.67,msrc_split,951.35,300 files,-1,0,8,1,f,28073568,None,0,45.8
LZ4,13800755,478.67,msrc_split,1549.94,300 files,-1,0,8,1,f,29187648,None,0,47.28
Zlib -1,10400754,74.63,msrc_split,247.19,300 files,-1,0,8,1,f,28720576,None,0,36.21
Zlib -9,9553209,11.57,msrc_split,252.37,300 files,-1,0,8,1,f,29260992,None,0,32.65
Huffman,20109816,609.94,msrc_split,713.7,300 files,-1,0,8,1,f,27842976,None,0,72.23
Zstd -1,46053610,211.0,msrc_split,579.95,300 files,-1,0,8,2,f,116763232,None,0,39.44
Zstd -9,38489133,36.41,msrc_split,592.62,300 files,-1,0,8,2,f,113665216,None,0,33.86
Snappy,52189572,391.53,msrc_split,955.14,300 files,-1,0,8,2,f,113354976,None,0,46.04
LZ4,53184312,470.75,msrc_split,1577.26,300 files,-1,0,8,2,f,112197472,None,0,47.4
Zlib -1,40961677,74.07,msrc_split,249.87,300 files,-1,0,8,2,f,113091648,None,0,36.22
Zlib -9,37889041,11.24,msrc_split,236.25,300 files,-1,0,8,2,f,113005088,None,0,33.53
Huffman,81883489,605.2,msrc_split,701.43,300 files,-1,0,8,2,f,112351200,None,0,72.88
Zstd -1,101885504,205.76,msrc_split,576.09,300 files,-1,0,8,3,f,254841376,None,0,39.98
Zstd -9,86236022,33.68,msrc_split,547.43,300 files,-1,0,8,3,f,254595840,None,0,33.87
Snappy,116377793,391.4,msrc_split,957.14,300 files,-1,0,8,3,f,254046848,None,0,45.81
LZ4,120588446,479.58,msrc_split,1574.78,300 files,-1,0,8,3,f,254706080,None,0,47.34
Zlib -1,93003143,74.72,msrc_split,246.9,300 files,-1,0,8,3,f,255762336,None,0,36.36
Zlib -9,84152268,11.36,msrc_split,250.99,300 files,-1,0,8,3,f,252999872,None,0,33.26
Huffman,184097637,590.99,msrc_split,714.36,300 files,-1,0,8,3,f,251922144,None,0,73.08
Zstd -1,180351376,207.19,msrc_split,562.44,300 files,-1,0,8,4,f,451638176,None,0,39.93
Zstd -9,153673034,34.8,msrc_split,530.1,300 files,-1,0,8,4,f,453851904,None,0,33.86
Snappy,205864561,392.26,msrc_split,943.31,300 files,-1,0,8,4,f,449908224,None,0,45.76
LZ4,214276539,472.3,msrc_split,1383.26,300 files,-1,0,8,4,f,453483200,None,0,47.25
Zlib -1,164596699,74.04,msrc_split,249.3,300 files,-1,0,8,4,f,452078464,None,0,36.41
Zlib -9,148868389,11.47,msrc_split,253.06,300 files,-1,0,8,4,f,449567680,None,0,33.11
Huffman,330445460,591.34,msrc_split,693.43,300 files,-1,0,8,4,f,453162048,None,0,72.92
Zstd -1,282589274,211.17,msrc_split,579.9,300 files,-1,0,8,5,f,707549376,None,0,39.94
Zstd -9,239313025,36.94,msrc_split,584.43,300 files,-1,0,8,5,f,706298720,None,0,33.88
Snappy,322322831,403.58,msrc_split,955.37,300 files,-1,0,8,5,f,706223968,None,0,45.64
LZ4,333471215,479.62,msrc_split,1424.76,300 files,-1,0,8,5,f,704031360,None,0,47.37
Zlib -1,256900784,74.27,msrc_split,232.32,300 files,-1,0,8,5,f,705236928,None,0,36.43
Zlib -9,231856921,11.45,msrc_split,243.94,300 files,-1,0,8,5,f,701178048,None,0,33.07
Huffman,517029739,591.64,msrc_split,717.52,300 files,-1,0,8,5,f,709199168,None,0,72.9
Zstd -1,405916353,211.52,msrc_split,580.94,300 files,-1,0,8,6,f,1018306144,None,0,39.86
Zstd -9,343212107,36.37,msrc_split,566.86,300 files,-1,0,8,6,f,1014648256,None,0,33.83
Snappy,465678099,393.98,msrc_split,958.91,300 files,-1,0,8,6,f,1017425248,None,0,45.77
LZ4,476420031,472.94,msrc_split,1573.98,300 files,-1,0,8,6,f,1009558944,None,0,47.19
Zlib -1,370285161,74.43,msrc_split,249.91,300 files,-1,0,8,6,f,1015660384,None,0,36.46
Zlib -9,338011515,11.49,msrc_split,242.41,300 files,-1,0,8,6,f,1018805536,None,0,33.18
Huffman,740206953,613.39,msrc_split,724.67,300 files,-1,0,8,6,f,1016893056,None,0,72.79
Zstd -1,550804166,205.42,msrc_split,547.26,300 files,-1,0,8,7,f,1383799488,None,0,39.8
Zstd -9,468591762,36.64,msrc_split,587.26,300 files,-1,0,8,7,f,1382543040,None,0,33.89
Snappy,628506127,401.89,msrc_split,953.56,300 files,-1,0,8,7,f,1377544896,None,0,45.63
LZ4,654940879,478.06,msrc_split,1563.38,300 files,-1,0,8,7,f,1383741568,None,0,47.33
Zlib -1,504377510,74.58,msrc_split,237.86,300 files,-1,0,8,7,f,1388448320,None,0,36.33
Zlib -9,460658332,11.37,msrc_split,252.3,300 files,-1,0,8,7,f,1385292640,None,0,33.25
Huffman,1006432147,597.05,msrc_split,677.15,300 files,-1,0,8,7,f,1382055200,None,0,72.82
Zstd -1,719565769,209.12,msrc_split,579.36,300 files,-1,0,8,8,f,1807131648,None,0,39.82
Zstd -9,609248636,36.35,msrc_split,587.08,300 files,-1,0,8,8,f,1801373216,None,0,33.82
Snappy,826847911,394.28,msrc_split,907.88,300 files,-1,0,8,8,f,1807618976,None,0,45.74
LZ4,854768925,483.24,msrc_split,1570.57,300 files,-1,0,8,8,f,1807901088,None,0,47.28
Zlib -1,657476233,74.82,msrc_split,249.18,300 files,-1,0,8,8,f,1808433440,None,0,36.36
Zlib -9,601379408,10.93,msrc_split,251.54,300 files,-1,0,8,8,f,1808578624,None,0,33.25
Huffman,1318942983,592.07,msrc_split,719.96,300 files,-1,0,8,8,f,1809367712,None,0,72.9
Zstd -1,910172966,205.65,msrc_split,541.06,300 files,-1,0,8,9,f,2284789472,None,0,39.84
Zstd -9,772371045,36.31,msrc_split,581.37,300 files,-1,0,8,9,f,2283948416,None,0,33.82
Snappy,1046023406,394.78,msrc_split,861.96,300 files,-1,0,8,9,f,2288571680,None,0,45.71
LZ4,1082618093,476.95,msrc_split,1570.59,300 files,-1,0,8,9,f,2291040224,None,0,47.25
Zlib -1,832753416,73.4,msrc_split,245.57,300 files,-1,0,8,9,f,2285961728,None,0,36.43
Zlib -9,759592707,10.62,msrc_split,250.1,300 files,-1,0,8,9,f,2283664480,None,0,33.26
Huffman,1667047589,591.23,msrc_split,681.72,300 files,-1,0,8,9,f,2286351360,None,0,72.91
Zstd -1,1119648267,210.01,msrc_split,579.61,300 files,-1,0,8,10,f,2813883360,None,0,39.79
Zstd -9,957375614,36.87,msrc_split,566.9,300 files,-1,0,8,10,f,2828770496,None,0,33.84
Snappy,1290345538,394.78,msrc_split,960.96,300 files,-1,0,8,10,f,2824474720,None,0,45.68
LZ4,1336419722,481.09,msrc_split,1572.2,300 files,-1,0,8,10,f,2823165344,None,0,47.34
Zlib -1,1026957266,74.51,msrc_split,244.78,300 files,-1,0,8,10,f,2818463712,None,0,36.44
Zlib -9,938066230,11.41,msrc_split,247.76,300 files,-1,0,8,10,f,2822272896,None,0,33.24
Huffman,2045781697,611.09,msrc_split,723.01,300 files,-1,0,8,10,f,2810330144,None,0,72.8
Zstd -1,1357416541,212.08,msrc_split,579.33,300 files,-1,0,8,11,f,3412633344,None,0,39.78
Zstd -9,1158312110,36.53,msrc_split,573.69,300 files,-1,0,8,11,f,3422363648,None,0,33.85
Snappy,1561978340,401.02,msrc_split,957.13,300 files,-1,0,8,11,f,3416267744,None,0,45.72
LZ4,1613505151,479.51,msrc_split,1566.29,300 files,-1,0,8,11,f,3406405440,None,0,47.37
Zlib -1,1244912780,74.17,msrc_split,246.79,300 files,-1,0,8,11,f,3419936096,None,0,36.4
Zlib -9,1133130552,10.94,msrc_split,237.57,300 files,-1,0,8,11,f,3412495712,None,0,33.21
Huffman,2485221097,592.78,msrc_split,722.8,300 files,-1,0,8,11,f,3410438720,None,0,72.87
Zstd -1,1616052265,211.98,msrc_split,579.9,300 files,-1,0,8,12,f,4064147680,None,0,39.76
Zstd -9,1377380437,36.68,msrc_split,576.86,300 files,-1,0,8,12,f,4066769888,None,0,33.87
Snappy,1857461059,394.53,msrc_split,958.36,300 files,-1,0,8,12,f,4059026112,None,0,45.76
LZ4,1924219610,471.86,msrc_split,1574.7,300 files,-1,0,8,12,f,4066154400,None,0,47.32
Zlib -1,1477537999,74.79,msrc_split,245.29,300 files,-1,0,8,12,f,4061738368,None,0,36.38
Zlib -9,1344617474,11.12,msrc_split,247.12,300 files,-1,0,8,12,f,4056906880,None,0,33.14
Huffman,2957597908,591.97,msrc_split,722.4,300 files,-1,0,8,12,f,4057332800,None,0,72.9
Zstd -1,1899640348,210.89,msrc_split,567.2,300 files,-1,0,8,13,f,4773632128,None,0,39.79
Zstd -9,1614807347,37.24,msrc_split,579.48,300 files,-1,0,8,13,f,4770479264,None,0,33.85
Snappy,2179913656,394.22,msrc_split,959.62,300 files,-1,0,8,13,f,4765290304,None,0,45.75
LZ4,2259115343,471.64,msrc_split,1568.63,300 files,-1,0,8,13,f,4772907904,None,0,47.33
Zlib -1,1730122370,74.48,msrc_split,245.36,300 files,-1,0,8,13,f,4762158400,None,0,36.33
Zlib -9,1579719784,11.47,msrc_split,247.28,300 files,-1,0,8,13,f,4764491744,None,0,33.16
Huffman,3472819297,592.34,msrc_split,701.03,300 files,-1,0,8,13,f,4764282656,None,0,72.89
Zstd -1,2203048892,209.75,msrc_split,561.19,300 files,-1,0,8,14,f,5536633632,None,0,39.79
Zstd -9,1874078004,36.35,msrc_split,578.96,300 files,-1,0,8,14,f,5528421408,None,0,33.9
Snappy,2530906830,394.83,msrc_split,960.49,300 files,-1,0,8,14,f,5535956928,None,0,45.72
LZ4,2610822690,473.52,msrc_split,1507.09,300 files,-1,0,8,14,f,5526770464,None,0,47.24
Zlib -1,2008102218,74.3,msrc_split,248.06,300 files,-1,0,8,14,f,5523061440,None,0,36.36
Zlib -9,1837850414,11.37,msrc_split,250.11,300 files,-1,0,8,14,f,5539868736,None,0,33.17
Huffman,4033473788,592.64,msrc_split,719.57,300 files,-1,0,8,14,f,5534187136,None,0,72.88
Zstd -1,2530490891,203.63,msrc_split,513.43,300 files,-1,0,8,15,f,6358060960,None,0,39.8
Zstd -9,2150255440,32.08,msrc_split,535.24,300 files,-1,0,8,15,f,6345598752,None,0,33.89
Snappy,2901397862,394.83,msrc_split,874.63,300 files,-1,0,8,15,f,6350653728,None,0,45.69
LZ4,2996782285,471.37,msrc_split,1400.01,300 files,-1,0,8,15,f,6341920800,None,0,47.25
Zlib -1,2308484815,71.04,msrc_split,226.99,300 files,-1,0,8,15,f,6351878880,None,0,36.34
Zlib -9,2109867247,10.55,msrc_split,229.54,300 files,-1,0,8,15,f,6355438464,None,0,33.2
Huffman,4611072725,554.36,msrc_split,653.52,300 files,-1,0,8,15,f,6326663008,None,0,72.88
Zstd -1,2875936508,194.35,msrc_split,511.71,300 files,-1,0,8,16,f,7229005984,None,0,39.78
Zstd -9,2450439830,33.29,msrc_split,522.56,300 files,-1,0,8,16,f,7227173792,None,0,33.91
Snappy,3295205068,397.08,msrc_split,833.89,300 files,-1,0,8,16,f,7215492544,None,0,45.67
LZ4,3413066733,456.25,msrc_split,1408.84,300 files,-1,0,8,16,f,7225146528,None,0,47.24
Zlib -1,2629999380,74.44,msrc_split,225.23,300 files,-1,0,8,16,f,7230570432,None,0,36.37
Zlib -9,2395517521,10.99,msrc_split,231.07,300 files,-1,0,8,16,f,7221870368,None,0,33.17
Huffman,5262148994,593.17,msrc_split,651.28,300 files,-1,0,8,16,f,7220794464,None,0,72.87
Memcpy,112846400,2777.57,msrc_split,5881.36,300 files,-1,0,16,1,f,112846400,None,0,100.0
SIMDBP128,39572896,4210.37,msrc_split,7818.52,300 files,-1,0,16,1,f,114762240,None,0,34.48
Simple8B,42046016,1950.58,msrc_split,5829.61,300 files,-1,0,16,1,f,111552320,None,0,37.69
Memcpy,451445760,4700.41,msrc_split,6814.7,300 files,-1,0,16,2,f,451445760,None,0,100.0
SIMDBP128,160419376,6739.52,msrc_split,11506.55,300 files,-1,0,16,2,f,467014400,None,0,34.35
Simple8B,170349352,2178.83,msrc_split,5528.53,300 files,-1,0,16,2,f,454622720,None,0,37.47
Memcpy,1031401280,4993.75,msrc_split,7632.02,300 files,-1,0,16,3,f,1031401280,None,0,100.0
SIMDBP128,351513472,6932.26,msrc_split,12013.41,300 files,-1,0,16,3,f,1019280000,None,0,34.49
Simple8B,384037464,2387.39,msrc_split,5786.13,300 files,-1,0,16,3,f,1018298240,None,0,37.71
Memcpy,1826464960,4137.78,msrc_split,6351.54,300 files,-1,0,16,4,f,1826464960,None,0,100.0
SIMDBP128,623096480,6032.98,msrc_split,12546.84,300 files,-1,0,16,4,f,1806399360,None,0,34.49
Simple8B,684527888,2230.81,msrc_split,5819.31,300 files,-1,0,16,4,f,1815251520,None,0,37.71
Memcpy,2840808640,5067.06,msrc_split,7636.11,300 files,-1,0,16,5,f,2840808640,None,0,100.0
SIMDBP128,976345792,6929.81,msrc_split,11776.2,300 files,-1,0,16,5,f,2829954880,None,0,34.5
Simple8B,1063449864,2366.64,msrc_split,5562.83,300 files,-1,0,16,5,f,2824955840,None,0,37.64
Memcpy,4085079360,4954.31,msrc_split,7180.63,300 files,-1,0,16,6,f,4085079360,None,0,100.0
SIMDBP128,1403820272,6819.85,msrc_split,13077.97,300 files,-1,0,16,6,f,4072878080,None,0,34.47
Simple8B,1527783712,2365.07,msrc_split,6103.9,300 files,-1,0,16,6,f,4058246080,None,0,37.65
Memcpy,5558837440,2758.39,msrc_split,6079.49,300 files,-1,0,16,7,f,5558837440,None,0,100.0
SIMDBP128,1906562832,6705.37,msrc_split,12091.9,300 files,-1,0,16,7,f,5534728000,None,0,34.45
Simple8B,2083124184,2156.72,msrc_split,6002.05,300 files,-1,0,16,7,f,5529701120,None,0,37.67
Memcpy,7247595200,5024.5,msrc_split,7576.25,300 files,-1,0,16,8,f,7247595200,None,0,100.0
SIMDBP128,2490745216,6833.02,msrc_split,13148.59,300 files,-1,0,16,8,f,7227907200,None,0,34.46
Simple8B,2713656272,2246.44,msrc_split,6086.32,300 files,-1,0,16,8,f,7204886400,None,0,37.66
Memcpy,9169161280,5003.65,msrc_split,7495.91,300 files,-1,0,16,9,f,9169161280,None,0,100.0
SIMDBP128,3148910096,7013.49,msrc_split,11722.5,300 files,-1,0,16,9,f,9138381440,None,0,34.46
Simple8B,3438621712,2234.28,msrc_split,5542.56,300 files,-1,0,16,9,f,9135010240,None,0,37.64
Memcpy,11320374720,4989.02,msrc_split,7228.14,300 files,-1,0,16,10,f,11320374720,None,0,100.0
